Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
06/25/2026,06/25/2026,06/25/2026,,Margin Interest,INT,,,($12.34)
06/28/2026,06/28/2026,06/28/2026,,Robinhood Gold Subscription,GOLD,,,($5.00)
07/05/2026,07/05/2026,07/07/2026,AAPL,AAPL,Sell,50,$190.00,$9500.00
07/08/2026,07/08/2026,07/09/2026,AAPL,AAPL 7/17/2026 Call $220.00,BTC,1,$1.10,($110.00)
07/12/2026,07/12/2026,07/12/2026,AAPL,AAPL Cash Div: 0.06200000/share (Ordinary Dividend),MDIV,,,$3.10
07/15/2026,07/15/2026,07/15/2026,,ACH Withdrawal,ACH,,,($2000.00)
07/20/2026,07/20/2026,07/20/2026,,Instant Deposit,RTP,,,$500.00
07/22/2026,07/22/2026,07/24/2026,NVDA,NVDA,Buy,20,$135.00,($2700.00)
07/25/2026,07/25/2026,07/25/2026,,Robinhood Gold Benefit,GDBP,,,($5.00)
07/28/2026,07/28/2026,07/28/2026,,Stock Lending Income,SLIP,,,$1.15
07/26/2026,07/26/2026,07/26/2026,CCIV,Churchill Capital Corp IV,SXCH,100S,,
07/26/2026,07/26/2026,07/26/2026,LCID,Lucid Group,SXCH,100,,
07/10/2026,07/10/2026,07/13/2026,TSLA,TSLA 8/21/2026 Put $200.00,STO,1,$4.50,$450.00
07/06/2026,07/06/2026,07/08/2026,MSFT,MSFT,Buy,20,$400.00,($8000.00)
07/20/2026,07/20/2026,07/22/2026,MSFT,MSFT,Sell,20,$380.00,$7600.00
07/24/2026,07/24/2026,07/25/2026,TSLA,TSLA 8/21/2026 Put $200.00,BTC,1,$6.00,($600.00)
07/24/2026,07/24/2026,07/25/2026,TSLA,TSLA 9/18/2026 Put $200.00,STO,1,$7.25,$725.00
